Q,A
좋아하는 사람 생기면 자꾸 따라하게 돼.,이것은 자연스러운 현상입니다.
내 남자친구는 나를 모욕하고 있어,순간 실수할 수 있겠다 판단되면 용서하고 기회를 주세요.
남자친구가 욕함,순식간에 실수를 할 수 있어 판단되면 용서하고 기회를 줘
새로운 운동화 필요해요,좋은 곳으로 갈 수 있도록 인도해줄 거예요.
한 달 동안 문자 보냈어요,이제 기억 속에서 지우는게 좋겠어요.
문자 보내놓은지 어언 한 달.,이제 제 기억에서 지우고 싶습니다.
"아미티, 가야 돼?",필수는 아니에요.
엠티 꼭 가야해?,그럴 필요는 없어요.
썸 타는 사이가 이렇게 편해도 되나?,너무 편안하다고 말해
썸 타는 사람한테 영통 걸까?,걸을 수 있는지 물어보세요.
널 만나면 안 좋아,그러면 만나는게 좋은거 같아요.
사랑하는 것과 사랑하는 것의 차이점은 무엇일까요?,구분짓기 어렵네요.
좋아하는 거랑 사랑하는 거 차이점이 뭘까요.,알기는 어렵죠.
어제 전화했어,말씀해보세요.
어제 연락햇는데ㅋㅋ,그 얘길 말해줘
5개월이 지났어요,이제 좀 괜찮아졌길 바랍니다.
우린 서로 사랑해요,기적같은 일이네요.
서로 사랑해,그건 기적이야
서로 좋아하는 것 같은데 내가 자존심 때문에 자꾸 관심 없는 척하게 돼.,자부심이 사랑보다 더 쓸모없습니다.
다음주에 전 여자친구를 보기로 했어,난 복잡하다고 생각해요.
몇 반이 되는지 궁금해요,잘 되길 바랍니다.
이제 증오가 될 거야,충분히 이해해요. 하지만 나에게도 독이 될 수 있어요.
이젠 증오가 될거같네,충분히 이해하지만 나에게는 독성이 있을 수 있습니다.
차라리 죽는게 나을듯한 이별의고통,시간이 지남에 따라 헤어짐의 고통은 담배처럼 사라질 것입니다.
지금은 시간이 아니야,행동할 때인 것 같네요. 응원해요.
프로포즈 곧 받을 거 같은데,치아파스트를 사전에 마시지 않아요.
어떤 사람이 공감을 느끼지 않으면 전화하지 않나요?,귀찮으면 연락 안하죠.
내 남사친이랑 잘되고 싶어 그는 나를 여자로 봐줄까?,이성적이어야 합니다.
만나고 싶은 사람이 있나요?,항상 사랑받고 있다는 확신을 느끼게 해주는 사람을 만나보세요.
어떤 사람을 만나는 게 좋을까?,항상 사랑받는 사람을 만나라.
못생긴 여자를 좋아하는 남자가 있나요?,외모만 중요한 시대는 끝났습니다.
전 이 추측에 미친다.,망상에서 얼른 벗어나길 바랄게요.
망상이제일짜증나고 미치네.,저는 곧 그릴에서 벗어날 수 있기를 바랍니다.
남자친구한테서 멀리 떨어져 있어야 돼,멀리 떨어진다고 큰일 나는 건 아닌 것 같기도 해요.
남자친구랑 멀리 떨어져야할 거 같은데 어쩌지?,멀리 있는 게 큰 문제가 아니라고 생각합니다.
짝남 전여친 못잊는거 보는게 너무 맘이 아파.,내가 할 수 있는 유일한 것은 그것을 보는 것입니다.
결국 헤어짐이 확실해졌습니다,그게 끝이라고 생각합니다.
"그래서 오늘, 저는 6년을 정리했습니다.",오랜시간이 걸린만큼 미련도 없을 거예요.
화가 났을 때 뭐하는 거야?,아무 것도 아니라고 생각하면서 크게 심호흡해보세요.
화 참으려면 어떻게 하지?,심히 숨쉬고 아무것도 없다고 생각하세요.
수면양말 겁나 따뜻,자고 있는 것 같아요.
끝까지 내겐 너무 많은 남자친구였어,좋은 사람 만납시다.
넌 낯선 사람처럼 날 계속 쳐다보고 있어,혹시 반한 걸 수도 있어요.
모르는 사람이 자꾸 쳐다봐,어쩌면 다른 절반일지도 모른다.
나 좋아하는 애가 갑자기 연락을 안하는데 숨은 뜻이 있는건가?,알아내기 전에 연락하고 싶어요.
섹스리스 부부 어때?,그들이 동의하든 상관없습니다.
결혼식 직전에 만나고 있어요,좋은 사람이랑 좋은 연애 하세요.
결혼전제로 만나고 있어,좋은 사람과 좋은 관계를 유지하세요.
농담만 하고 난 망쳐버렸어,늦지 않았어요.
스드메 계약했어,결혼에 대한 첫 걸음을 내딛고 있습니다.
인기를 끌고 싶다면,성격이 좋으면 인기가 있을 거예요.
인기 많으려면,"좋은 성격을 가지고 있다면, 당신은 인기가 될 것입니다."
분리의 고통에 대한 해결책입니다.,작은 일부터 시작해보세요. 그곳에서 행복을 찾아보세요.
이별의 고통 해결책.,작은 것부터 시작해 그곳에서 행복을 찾아라.
남편이 축가 불러준대,그는 낭만적인 남편입니다.
이 여자가 무슨 생각을 하고 있어?,사실 그분에게 직접 물어보는게 좋아요.
이 여자는 무슨 생각일까,"사실, 내가 직접 물어보고 싶어요."
저는 간접 흡연을 좋아하지 않습니다.,저도 싫어요.
간접흡연 싫어,나도 싫어
오늘밤 데이트하러 옷을 입게 될 거야,자신에게 잘 어울리는 옷을 생각해봐요.
오늘 짝남 만나는데 뭐 입지.,당신에게 맞는 옷을 생각해보세요.
깨달음은 늘 늦게 온다,무슨 결정을 내리든 항상 후회가 있습니다.
제 생각엔 뒤늦게 생각해봤어,이별에는 항상 후유증이 있어요.
창녀와 무슨 대화를 해야 할까요?,공통점 찾기가 좋겠죠.
과장금 받겠나?,안된다고 하면 거짓말이겠지요.
머리가 아프네요,시원한 바람 쉬고 약먹기!
머리 아파,신선한 공기를 들이마시고 술 마시면 되죠!
